feature,key,mu_log_ms,sigma_log
FT,0,5.575048795,1.128307983
FT,7,5.469569113,0.739100714
FT,8,5.188079066,1.123033802
FT,9,5.971830374,0.779041872
FT,13,6.031657797,0.761928764
FT,15,5.252245194,1.117500383
FT,16,5.382173166,0.907858422
FT,17,5.894710506,0.888175676
FT,20,5.348591207,0.905969083
FT,23,5.333822654,0.856642926
FT,30,5.224649961,0.823481286
FT,31,5.32989672,0.889760659
FT,32,4.992918609,0.578889905
FT,33,5.378254224,0.7137386
FT,34,5.378254224,0.7137386
FT,35,5.517646986,0.949409528
FT,36,4.579755061,0.531432959
FT,37,4.422495853,1.13416167
FT,38,5.161370833,1.174249267
FT,39,4.633682102,1.114988293
FT,40,5.182981196,1.211253889
FT,41,5.378254224,0.7137386
FT,42,5.378254224,0.7137386
FT,43,5.378254224,0.7137386
FT,44,5.378254224,0.7137386
FT,45,4.48704299,1.429041836
FT,46,5.100089149,1.147965459
FT,47,5.269211844,0.653655279
FT,48,5.646933842,0.701265071
FT,49,5.883653042,0.70569737
FT,50,5.816373488,0.796510155
FT,51,6.001945256,0.818350383
FT,52,5.805200742,0.913192041
FT,53,5.733378122,0.867944279
FT,54,5.790990148,0.859770819
FT,55,5.67959432,0.727619358
FT,56,5.731814644,0.782932853
FT,57,5.590162513,0.834888101
FT,58,5.378254224,0.7137386
FT,59,4.628748415,1.663972752
FT,60,3.391725754,0.145564675
FT,61,5.378254224,0.7137386
FT,62,5.378254224,0.806674235
FT,63,5.378254224,0.7137386
FT,64,5.378254224,0.7137386
FT,65,4.994716198,0.552940081
FT,66,5.569776366,0.71948695
FT,67,5.375884578,0.642662072
FT,68,5.191746028,0.636313404
FT,69,4.92459776,0.553743912
FT,70,5.457721627,0.774583227
FT,71,5.436255521,0.74875098
FT,72,4.898877299,0.7137386
FT,73,5.064187401,0.611006567
FT,74,5.488207164,0.795143721
FT,75,5.532304505,1.011440583
FT,76,5.179787776,0.557513663
FT,77,5.298885166,0.635181533
FT,78,5.070691372,0.594276125
FT,79,4.970593096,0.610262871
FT,80,5.525493621,0.745785035
FT,81,5.529277062,0.730188142
FT,82,5.067616703,0.607617648
FT,83,5.10960323,0.595588426
FT,84,5.148434539,0.660803251
FT,85,5.151799009,0.636299667
FT,86,5.587429771,0.700133586
FT,87,5.073742524,0.68726577
